Index,Location
0,N 25° E 49° S 32° W 7°
1,N 47° E 7° S 45° W 32°
2,N 84° E 3° S 60° W 1°
3,N 56° E 28° S 65° W 80°
4,N 0° E 23° S 43° W 49°
5,N 3° E 9° S 66° W 17°
6,N 34° E 26° S 15° W 51°
7,N 37° E 67° S 9° W 51°
8,N 70° E 56° S 21° W 48°
9,N 24° E 49° S 59° W 78°
10,N 0° E 49° S 8° W 39°
11,N 62° E 35° S 30° W 21°
12,N 44° E 33° S 74° W 89°
13,N 31° E 23° S 53° W 31°
14,N 13° E 40° S 64° W 35°
15,N 65° E 58° S 52° W 13°
16,N 36° E 83° S 85° W 42°
17,N 32° E 88° S 4° W 77°
18,N 20° E 13° S 17° W 22°
19,N 59° E 43° S 24° W 72°
20,N 17° E 46° S 4° W 46°
21,N 19° E 67° S 50° W 79°
22,N 72° E 41° S 56° W 70°
23,N 10° E 45° S 46° W 44°
24,N 67° E 89° S 80° W 80°
25,N 10° E 38° S 31° W 22°
26,N 16° E 33° S 23° W 27°
27,N 29° E 3° S 89° W 14°
28,N 31° E 50° S 82° W 57°
29,N 19° E 40° S 84° W 7°
30,N 23° E 52° S 18° W 69°
31,N 65° E 7° S 48° W 36°
32,N 56° E 31° S 65° W 24°
33,N 13° E 69° S 34° W 87°
34,N 5° E 67° S 54° W 24°
35,N 13° E 27° S 85° W 9°
36,N 6° E 54° S 47° W 37°
37,N 5° E 74° S 86° W 22°
38,N 89° E 27° S 49° W 10°
39,N 28° E 87° S 86° W 20°
40,N 22° E 38° S 59° W 74°
41,N 56° E 70° S 30° W 36°
42,N 41° E 59° S 73° W 3°
43,N 79° E 50° S 27° W 9°
44,N 71° E 74° S 85° W 29°
45,N 63° E 16° S 75° W 19°
46,N 4° E 18° S 15° W 44°
47,N 88° E 81° S 33° W 34°
48,N 13° E 42° S 62° W 54°
49,N 39° E 69° S 59° W 71°
50,N 84° E 60° S 31° W 46°
51,N 43° E 65° S 28° W 83°
52,N 77° E 8° S 16° W 60°
53,N 36° E 67° S 39° W 37°
54,N 61° E 34° S 55° W 10°
55,N 10° E 10° S 87° W 37°
56,N 8° E 28° S 2° W 62°
57,N 49° E 22° S 24° W 86°
58,N 79° E 26° S 68° W 66°
59,N 83° E 56° S 13° W 48°
60,N 60° E 2° S 7° W 33°
61,N 64° E 77° S 45° W 2°
62,N 47° E 49° S 84° W 65°
63,N 87° E 61° S 7° W 77°
64,N 44° E 50° S 38° W 32°
65,N 15° E 12° S 57° W 56°
66,N 74° E 47° S 19° W 73°
67,N 14° E 78° S 70° W 31°
68,N 21° E 1° S 85° W 23°
69,N 21° E 70° S 53° W 43°
70,N 80° E 34° S 18° W 77°
71,N 79° E 86° S 41° W 45°
72,N 29° E 1° S 53° W 76°
73,N 78° E 54° S 65° W 65°
74,N 47° E 10° S 67° W 40°
75,N 77° E 48° S 38° W 81°
76,N 81° E 46° S 4° W 44°
77,N 29° E 52° S 80° W 9°
78,N 87° E 67° S 55° W 23°
79,N 45° E 33° S 62° W 19°
80,N 1° E 0° S 14° W 71°
81,N 3° E 6° S 61° W 12°
82,N 30° E 68° S 15° W 81°
83,N 20° E 88° S 0° W 20°
84,N 76° E 27° S 58° W 82°
85,N 23° E 14° S 28° W 60°
86,N 64° E 84° S 67° W 2°
87,N 25° E 79° S 75° W 27°
88,N 71° E 13° S 85° W 40°
89,N 39° E 2° S 51° W 73°
90,N 75° E 39° S 38° W 37°
91,N 77° E 83° S 72° W 45°
92,N 27° E 57° S 84° W 36°
93,N 49° E 17° S 6° W 31°
94,N 31° E 11° S 84° W 79°
95,N 22° E 18° S 72° W 44°
96,N 8° E 37° S 30° W 48°
97,N 84° E 12° S 63° W 66°
98,N 55° E 71° S 34° W 55°
99,N 34° E 30° S 33° W 30°
100,N 19° E 68° S 60° W 9°
101,N 24° E 66° S 86° W 69°
102,N 71° E 24° S 85° W 79°
103,N 60° E 55° S 52° W 26°
104,N 72° E 17° S 60° W 40°
105,N 12° E 76° S 58° W 43°
106,N 69° E 70° S 16° W 13°
107,N 28° E 86° S 10° W 43°
108,N 51° E 30° S 38° W 64°
109,N 11° E 19° S 33° W 17°
110,N 29° E 36° S 65° W 7°
111,N 82° E 4° S 77° W 5°
112,N 37° E 80° S 46° W 68°
113,N 73° E 67° S 48° W 26°
114,N 68° E 59° S 46° W 46°
115,N 24° E 64° S 82° W 9°
116,N 73° E 14° S 64° W 0°
117,N 8° E 85° S 47° W 28°
118,N 83° E 37° S 15° W 42°
119,N 10° E 72° S 34° W 56°
120,N 29° E 42° S 4° W 87°
121,N 70° E 85° S 64° W 18°
122,N 12° E 22° S 24° W 59°
123,N 3° E 85° S 71° W 22°
124,N 5° E 72° S 33° W 74°
125,N 68° E 70° S 47° W 36°
126,N 17° E 64° S 66° W 88°
127,N 40° E 77° S 28° W 45°
128,N 16° E 85° S 80° W 23°
129,N 73° E 16° S 24° W 83°
130,N 51° E 53° S 29° W 1°
